doc_id,posting_entries_size,doc_size_bytes
1642,1564,18397
1643,1516,23646
1644,748,17553
1645,1028,15970
1646,3012,39657
1647,516,13073
1648,1532,17985
1649,400,10689
1650,564,11295
1651,800,18787
1652,960,19205
1653,1016,28503
1654,860,15210
1655,732,25358
1656,808,14599
1657,1464,20602
1658,1048,14712
1659,968,13455
1660,520,13519
1661,560,15718
1662,4212,104227
1663,540,14039
1664,436,11456
1665,1028,13840
1666,600,10855
1667,1096,22872
1668,1564,16038
1669,516,10675
1670,976,25553
1671,1080,26555
1672,492,11501
1673,1136,33524
1674,1036,17831
1675,456,12096
1676,780,12651
1677,1284,26056
1678,828,21839
1679,1180,31953
1680,676,16427
1681,932,37066
1682,1032,24631
1683,476,9169
1684,532,10417
1685,2356,33094
1686,548,11213
1687,428,11090
1688,548,15173
1689,988,19106
1690,608,10862
1691,432,9899
1692,420,10481
1693,752,12862
1694,964,29405
1695,608,16753
1696,564,11528
1697,1740,46157
1698,492,10773
1699,840,25136
1700,528,13201
1701,920,16038
1702,644,12913
1703,588,13616
1704,584,10360
1705,412,12598
1706,4652,73851
1707,732,19658
1708,1072,13921
1709,2504,57183
1710,2636,43384
1711,1504,28305
1712,1204,27229
1713,1200,19069
1714,1228,15595
1715,496,13238
1716,616,11734
1717,2416,44109
1718,388,9865
1719,564,10908
1720,1668,49806
1721,2460,76447
1722,864,19842
1723,688,10636
1724,700,14054
1725,628,12969
1726,456,9732
1727,664,17253
1728,512,9257
1729,584,14451
1730,1008,16767
1731,1700,28137
1732,540,15040
1733,1172,24317
1734,724,13092
1735,1496,20167
1736,668,16142
1737,1260,26461
1738,676,18610
1739,1480,24895
1740,528,12706
1741,6092,93787
1742,956,19495
1743,532,13703
1744,552,11135
1745,1536,24817
1746,764,21981
1747,3496,101547
1748,540,13820
1749,656,17481
1750,832,13646
1751,516,13162
1752,404,9780
1753,656,12281
1754,2724,86818
1755,2120,53160
1756,992,17127
1757,544,10180
1758,620,10955
1759,652,15270
1760,392,10894
1761,1496,24426
